AVG Rank	Position	Name	School	Age on  Week 1	Player Notes or     Red Flags	Height	Weight	Hand	Arm	Wing	40 yd Dash	10 yd Split	Vert Jump	Broad Jump	3 Cone	Shuttle	Bench
266	WR	Isaac TeSlaa	Arkansas			6' 3 5/8"	214	10 0/8"	31 1/8"	76 3/4"	4.43	1.51	39.5"	10'09"	6.85	4.05	
267	CB	Jason Marshall Jr.	Florida	22.99		6' 0 3/8"	194	9 2/8"	30 1/4"	75 5/8"	4.49	1.55	37.5"	10'05"			
268	OL	Trey Wedig	Indiana			6' 6 5/8"	310	9 6/8"	32 3/4"	81 3/4"							
269	WR	Antwane Wells Jr.	Mississippi	24.42	Age 24	6' 0 3/4"	201	8 7/8"	31 1/2"	77 1/8"	4.58	1.53	34"	10'04"			
270	CB	Shamari Simmons	Arizona State			6' 0"	195										
271	DL	Eric Gregory	Arkansas			6' 3 1/4"	319	9 5/8"	33"	81 1/4"	5.15	1.76	27"	9'00"	7.68	4.97	
272	WR	Jackson Meeks	Syracuse			6' 1 7/8"	216	9 3/8"	30 7/8"	76 3/8"							
273	S	Isas Waxter	Villanova			6' 1 1/4"	209	9 4/8"	31 3/4"	78 1/8"	4.56	1.53	35"	10'04"			
274	WR	Ja'Corey Brooks	Louisville	23.84		6' 2"	184	9 0/8"	31 3/4"	76 3/4"							
275	WR	Beaux Collins	Notre Dame	22.72		6' 3"	201	9 4/8"	31 5/8"	79 1/2"							
276	QB	Brady Cook	Missouri	23.89		6' 2 1/8"	214	9 2/8"	32 1/2"	77 5/8"	4.59	1.53	37"	10'08"	7.01	4.17	
277	WR	Zakhari Franklin	Illinois	24.89	Age 24	6' 1"	190										
278	OC	Drew Kendall	Boston College			6' 4 1/4"	308	9 5/8"	31 3/4"	77 1/2"	5.05	1.79			7.56	4.51	
279	OL	Garrett Dellinger	LSU			6' 5"	322										
280	WR	Traeshon Holden	Oregon	24.06	Age 24	6' 2 1/8"	205	9 7/8"	31 5/8"	78 1/2"	4.57	1.54	32"	10'03"			
