AVG Rank	Position	Name	School	Age on  Week 1	Player Notes or     Red Flags	Height	Weight	Hand	Arm	Wing	40 yd Dash	10 yd Split	Vert Jump	Broad Jump	3 Cone	Shuttle	Bench
13	Edge	James Pearce Jr.	Tennessee	21.89	Character Concerns	6' 5 1/4"	245	10 0/8"	32 3/4"	80 7/8"	4.47	1.56	31"	10'03"			
14	LB	Jihaad Campbell	Alabama	21.53		6' 2 7/8"	235	10 4/8"	32 1/8"	80"	4.52	1.53		10'07"			
15	TE	Colston Loveland	Michigan	21.40		6' 5 3/4"	248	10 0/8"	32 3/4"								
16	S	Malaki Starks	Georgia	21.81		6' 0 7/8"	197	9 4/8"	31 5/8"	78 3/8"	4.50	1.51	36.5"	10'10"	7.26	4.45	
17	Edge	Mykel Williams	Georgia	21.18		6' 5 1/8"	267	10 2/8"	34 3/8"	82 7/8"	4.75	1.59					
18	Edge	Mike Green	Marshall	23.10	Character Concerns	6' 3 1/8"	251	8 4/8"	32"	77 5/8"							
19	CB	Jahdae Barron	Texas	23.75		5' 10 3/4"	194	9 4/8"	29 5/8"	73 1/2"	4.39	1.50	35"	10'03"			
20	WR	Luther Burden III	Missouri	21.73		6' 0"	206	8 4/8"	31 1/4"	76 1/2"	4.41	1.54					
21	DL	Walter Nolen	Mississippi	21.89		6' 3 3/4"	296	9 4/8"	32 1/2"	78 5/8"							
22	OT	Josh Simmons	Ohio State	22.69	Injury	6' 4 1/8"	317	10 0/8"	33"	82"							
23	Edge	Shemar Stewart	Texas A&M	21.81		6' 5"	267	9 5/8"	34 1/8"	84 3/4"	4.59	1.58	40"	10'11"			
24	DL	Kenneth Grant	Michigan	21.85		6' 3 5/8"	331	10 2/8"	33 1/2"	82 5/8"							
25	WR	Emeka Egbuka	Ohio State	22.89		6' 0 7/8"	202	9 5/8"	31 1/2"	76 5/8"	4.50	1.52					
26	QB	Shedeur Sanders	Colorado	23.58		6' 1 1/2"	212	9 3/8"	31 1/2"	77 3/4"							
27	DL	Derrick Harmon	Oregon			6' 4 1/2"	313	10 3/8"	34 3/8"	83 3/4"	4.95	1.74					
28	OG	Tyler Booker	Alabama	21.39		6' 4 5/8"	321	11 0/8"	34 1/2"	83 1/2"	5.38	1.96	27"	07'10"	7.96	4.84	
29	WR	Matthew Golden	Texas	22.09		5' 11"	191	9 4/8"	30 5/8"	76 3/8"	4.29	1.49					
30	S	Nick Emmanwori	South Carolina	21.58		6' 3 1/8"	220	9 0/8"	32 1/2"	78 1/4"	4.38	1.49	43"	11'06"			20
31	Edge	Donovan Ezeiruaku	Boston College	21.94		6' 2 1/2"	248	9 2/8"	34"	82 3/4"			35.5"	09'11"	6.94	4.19	
32	OT	Josh Conerly Jr.	Oregon	21.83		6' 4 5/8"	311	10 3/8"	33 1/2"	82 1/4"	5.05	1.71	34.5"	08'07"			
33	OL	Grey Zabel	North Dakota State	23.46		6' 5 7/8"	312	9 4/8"	32"	77 1/2"			36.5"	09'03"			
34	RB	Omarion Hampton	North Carolina	22.47		5' 11 3/4"	221	9 3/8"	30 1/2"	74 3/4"	4.46	1.54	38"	10'10"		4.40	
35	CB	Shavon Revel	East Carolina	23.39	Injury	6' 1 7/8"	194	9 5/8"	32 5/8"	79 3/4"							
36	Edge	Nic Scourton	Texas A&M	21.03		6' 2 3/4"	257	10 0/8"	33"	80 7/8"							
37	CB	Benjamin Morrison	Notre Dame	21.48	Injury	6' 0 1/4"	193	9 2/8"	30 3/8"	75 7/8"							
38	DL	Tyleik Williams	Ohio State	22.53		6' 2 7/8"	334	10 2/8"	33 5/8"	78 5/8"							
39	DL	Darius Alexander	Toledo	25.02	Older Prospect 25+	6' 3 7/8"	305	10 0/8"	34"	82 7/8"	4.95	1.72	31.5"	09'03"	7.60	4.79	
40	CB	Maxwell Hairston	Kentucky	23.75		5' 11 1/4"	183	8 6/8"	31"	76 7/8"	4.28	1.50	39.5"	10'09"			
41	DL	TJ Sanders	South Carolina	22.09		6' 3 7/8"	297	10 2/8"	33 1/8"	80 7/8"			31.5"	09'04"	7.70	4.67	
42	CB	Trey Amos	Mississippi	23.50		6' 0 3/4"	195	9 0/8"	31 1/4"	77 3/4"	4.43	1.60	32.5"	10'06"			13
43	OT	Aireontae Ersery	Minnesota			6' 6 1/4"	331	9 4/8"	33 1/8"	80 7/8"	5.01	1.75	29.5"	09'03"	7.81	4.82	
44	OG	Donovan Jackson	Ohio State	22.75		6' 3 5/8"	315	9 7/8"	33 1/2"	83 3/4"							
45	CB	Azareye'h Thomas	Florida State	21.24		6' 1 1/2"	197	10 0/8"	32 3/8"	78"				10'02"			
46	LB	Carson Schwesinger	UCLA			6' 2 1/2"	242	9 2/8"	31 5/8"	77 1/2"			39.5"				
47	Edge	JT Tuimoloau	Ohio State	22.32		6' 4 1/4"	265	10 4/8"	33 3/4"	82 3/8"							
48	DL	Alfred Collins	Texas	23.91		6' 5 5/8"	332	10 0/8"	34 5/8"	85"			26"	8'00"			
49	Edge	Landon Jackson	Arkansas	22.67		6' 6"	264	10 0/8"	33 1/4"	83 5/8"	4.68	1.65	40.5"	10'09"			
50	S	Xavier Watts	Notre Dame	23.78		5' 11 3/4"	204	8 5/8"	31 1/2"	76 1/2"							
51	RB	TreVeyon Henderson	Ohio State	22.87		5' 10 1/8"	202	9 4/8"	30 3/4"	76 1/8"	4.43	1.52	38.5"	10'08"			
52	Edge	Princely Umanmielen	Mississippi	23.38		6' 4 3/8"	244	9 5/8"	33 7/8"	82 1/8"	4.72	1.62	38"	10'06"	7.33	4.46	
53	TE	Elijah Arroyo	Miami	22.36		6' 5 1/8"	250	10 0/8"	33"	81 7/8"							22
54	OG	Jonah Savaiinaea	Arizona	22.64		6' 4 5/8"	324	10 2/8"	33 7/8"	82 1/4"	4.95	1.72	29"	08'10"		4.66	
55	RB	Kaleb Johnson	Iowa	22.06		6' 1"	224	9 5/8"	33"	78 1/2"	4.57	1.62					
56	WR	Jayden Higgins	Iowa State	22.72		6' 4 1/8"	214	9 1/8"	33 1/8"	80"	4.47	1.53	39"	10'08"			
57	Edge	Jack Sawyer	Ohio State	24.33	Age 24	6' 4 1/4"	260	9 6/8"	31 3/4"	77 1/8"							
58	DL	Omarr Norman-Lott	Tennessee	23.48		6' 1 7/8"	291	10 6/8"	33 3/4"	80 1/2"			31.5"	09'04"			
59	TE	Mason Taylor	LSU	21.32		6' 5 1/8"	251	10 0/8"	32 1/4"	78 3/4"							
60	WR	Elic Ayomanor	Stanford	22.22		6' 1 3/4"	206	10 0/8"	32 3/8"	78 3/8"	4.44	1.58	38.5"	10'07"			
61	WR	Tre Harris	Mississippi	23.51		6' 2 3/8"	205	9 5/8"	31 7/8"	78 1/4"	4.54	1.56	38.5"	10'05"			
62	OL	Marcus Mbow	Purdue	22.42		6' 4 1/8"	303	10 4/8"	32"	80"						4.67	
63	OT	Cameron Williams	Texas	21.88		6' 5 3/4"	317	11 3/8"	34 1/2"	84 1/2"							
64	CB	Darien Porter	Iowa State	24.66	Age 24	6' 2 7/8"	195	9 0/8"	33 1/8"	80"	4.30	1.49	36.5"	10'11"	6.71	4.04	
65	Edge	Bradyn Swinson	LSU	23.17		6' 3 5/8"	255	9 7/8"	33 3/8"	81 1/4"					7.13	4.33	
66	RB	Quinshon Judkins	Ohio State	21.85		5' 11 5/8"	221	9 2/8"	30 1/4"	73 1/2"	4.48	1.51	38.5"	11'00"			
67	QB	Jaxson Dart	Mississippi	22.31		6' 2 1/4"	223	9 4/8"	30"	72 7/8"							
68	S	Kevin Winston Jr.	Penn State	21.76	Injury	6' 1 1/2"	215	9 4/8"	32 1/2"	80 7/8"							
69	DE	Jordan Burch	Oregon	23.90		6' 4 1/8"	279	9 4/8"	33"	79 3/8"	4.67	1.66					
70	WR	Jack Bech	TCU	22.71		6' 1 1/4"	214	9 0/8"	31 1/2"	75"			34.5"	10'05"	6.84	4.21	19
71	OL	Ozzy Trapilo	Boston College			6' 6"	316	10 3/8"	33"	81"	5.21	1.77		08'10"	7.71	4.70	
72	DL	Joshua Farmer	Florida State	23.63		6' 3 1/4"	305	10 4/8"	35"	83 3/8"	5.12	1.77	29"	09'04"			
73	WR	Jalen Royals	Utah State	22.54		6' 0"	205	9 4/8"	30 1/8"	73 3/4"	4.42	1.49					13
74	Edge	Josaiah Stewart	Michigan	22.36		6' 1"	249	9 4/8"	31 7/8"	79"							
75	Edge	Kyle Kennard	South Carolina	23.73		6' 4"	254	9 6/8"	34"	81 1/2"	4.73	1.63					
76	TE	Gunnar Helm	Texas	22.99		6' 5"	241	9 7/8"	32 3/4"	79 1/2"	4.84	1.69	30"		7.15	4.40	
77	TE	Harold Fannin Jr.	Bowling Green	22.12		6' 3 1/4"	241	9 2/8"	32 1/4"	79 1/4"	4.71	1.56		09'10"	6.97	4.39	22
78	OC	Jared Wilson	Georgia	22.25		6' 3"	310	10 6/8"	32 3/8"	80"	4.84	1.72	32"	09'04"		4.56	
79	DE	Jared Ivey	Mississippi	23.75		6' 5 7/8"	274	9 1/8"	33 1/2"	82 3/4"							
80	DL	Deone Walker	Kentucky	21.48		6' 7 3/8"	331	10 5/8"	34 1/4"	84 1/8"			25"	08'08"			
81	RB	Dylan Sampson	Tennessee	20.97		5' 8 1/8"	200	8 6/8"	30 1/2"	73"	4.42		35"	10'04"			
82	QB	Jalen Milroe	Alabama	22.73		6' 1 7/8"	217	9 3/8"	30 5/8"	76 5/8"							
83	S	Andrew Mukuba	Texas	22.74		5' 11 1/4"	186	9 0/8"	30"	75 3/8"	4.45	1.53					
84	OT	Charles Grant	William & Mary			6' 4 7/8"	311	10 2/8"	34 3/4"	81 7/8"							
85	WR	Jaylin Noel	Iowa State	23.00		5' 10 1/4"	194	8 6/8"	29 1/2"	73 3/4"	4.39	1.51	41.5"	11'02"			23
86	OG	Wyatt Milum	West Virginia	23.69		6' 6 1/2"	313	10 2/8"	32 1/8"	79 1/2"	5.27	1.84				4.69	
87	OG	Tate Ratledge	Georgia	24.36	Age 24	6' 8 3/8"	308	10 3/8"	32 1/4"	79 1/4"	4.97	1.72	32"	09'05"	7.38		
88	TE	Terrance Ferguson	Oregon	22.58		6' 5 3/8"	247	9 2/8"	32 7/8"	80 1/8"	4.63	1.55		10'02"			
89	RB	Cam Skattebo	Arizona State	23.58		5' 9 1/2"	219	9 3/8"	29 7/8"	73 7/8"			39.5"	10'03"			
90	Edge	Ashton Gillotte	Louisville			6' 2 5/8"	264	8 4/8"	31 7/8"	78 5/8"			36.5"	10'00"			
91	DL	Shemar Turner	Texas A&M	22.64		6' 3 1/8"	290	10 2/8"	33 5/8"	81 1/8"							
92	WR	Tez Johnson	Oregon	23.29		5' 9 7/8"	154	9 0/8"	29 3/8"	73 3/4"	4.51	1.53	37"	10'11"	6.65		
93	WR	Xavier Restrepo	Miami (FL)	23.37		5' 9 7/8"	209	9 1/8"	29 3/8"	71 5/8"							17
94	OG	Anthony Belton	North Carolina State			6' 6"	336	10 2/8"	33 7/8"	83 1/8"	5.26	1.82	29.5"	08'11"	7.77		
95	DL	Jordan Phillips	Maryland	21.64		6' 1 5/8"	312	9 6/8"	31 1/2"	79 1/8"			31"	09'00"	8.19	4.65	
96	DE	Aeneas Peebles	Virginia Tech	24.00	Age 24	6' 0 1/2"	282	9 5/8"	31 3/8"	79 1/8"	4.95	1.74	32.5"	09'01"		4.70	
97	LB	Chris Paul Jr.	Mississippi	22.83		6' 0 7/8"	222	9 3/8"	29 7/8"	75 3/8"	4.63	1.62	36"	09'09"			
98	LB	Demetrius Knight Jr.	South Carolina	25.67	Older Prospect 25+	6' 1 5/8"	235	10 0/8"	32 5/8"	80 1/2"	4.58	1.58	31.5"	09'10"	7.12	4.25	
99	QB	Quinn Ewers	Texas	22.47		6' 2 1/8"	214	9 3/8"	30 3/4"	75"							
100	WR	Savion Williams	TCU	23.78		6' 3 7/8"	222	10 2/8"	32 1/2"	80 7/8"	4.48	1.52					
101	RB	RJ Harvey	UCF	24.58	Age 24	5' 8"	205	9 0/8"	29"	71 1/4"	4.40	1.57	38"	10'07"		4.34	
102	WR	Isaiah Bond	Texas	21.47		5' 10 5/8"	180	8 4/8"	30 1/2"	75 1/2"	4.39	1.51					
103	LB	Barrett Carter	Clemson	22.86		6' 0 1/8"	231	9 2/8"	32 1/8"	78 5/8"			34.5"	09'08"		4.41	
104	CB	Cobee Bryant	Kansas	26.43	Oldest-- Age 26+	6' 0"	180	9 2/8"	31 1/4"	77"	4.53	1.56					
105	CB	Jacob Parrish	Kansas State	21.51		5' 9 3/4"	191	9 0/8"	30 7/8"	75 7/8"	4.35	1.51	37.5"	10'09"			12
106	QB	Will Howard	Ohio State	23.94		6' 4 1/4"	236	9 0/8"	32"	77 1/8"			31.5"	09'04"	7.13	4.44	
107	Edge	Oluwafemi Oladejo	UCLA	21.96		6' 3 1/4"	259	9 6/8"	33 3/8"	82 1/8"			36.5"	10'00"			
108	DL	CJ West	Indiana			6' 1 1/8"	316	9 6/8"	31 1/2"	79 1/8"	4.95	1.73					
109	CB	Quincy Riley	Louisville	24.27	Age 24	5' 10 1/2"	194	8 4/8"	31"	75"	4.48	1.54					
110	S	Lathan Ransom	Ohio State	23.13		6' 0 1/4"	206	8 4/8"	30 1/2"	75 1/8"							
111	DL/FB	JJ Pegues	Mississippi	23.78		6' 2 1/2"	309	9 3/8"	32 1/2"	79 1/4"	5.16	1.82	27.5"				
112	Edge	Quandarrius Robinson	Alabama			6' 4 1/4"	243	9 5/8"	33 1/2"	80 1/8"							
113	S	Jonas Sanker	Virginia	22.78		6' 0 3/8"	206	9 6/8"	32 1/4"	77 5/8"	4.48	1.51					12
114	Edge	David Walker	Central Arkansas	25.30	Older Prospect 25+	6' 0 7/8"	263	9 2/8"	31 7/8"	77 1/2"	4.69	1.65	35"	09'10"	7.15	4.39	
115	OG	Emery Jones Jr.	LSU	21.50		6' 5 1/4"	315	10 6/8"	34 1/4"	81 1/2"							
116	DE	Sai'vion Jones	LSU	22.17		6' 5 3/8"	280	10 0/8"	33 1/2"	82 3/8"			33"	09'11"			
117	RB	DJ Giddens	Kansas State	22.02		6' 0 1/4"	212	9 2/8"	30 3/8"	75 1/4"	4.43	1.53	39.5"	10'10"		4.33	
118	S	Sebastian Castro	Iowa	24.89	Age 24	5' 11 1/4"	203	10 4/8"	30 3/4"	74 3/8"	4.59	1.59	30.5"	09'09"		4.34	
119	WR	Tory Horton	Colorado State	22.76		6' 2 1/2"	196	9 0/8"	30 5/8"	77"	4.41	1.53	37.5"				
120	RB	Devin Neal	Kansas	22.06		5' 11 1/8"	213	8 4/8"	29 5/8"	71 3/4"	4.58	1.59	37.5"	10'04"			
121	LB	Jeffrey Bassa	Oregon	22.96		6' 1 1/8"	232	9 2/8"	31 3/8"	78 3/4"	4.63	1.59	38.5"	9'10"	7.34		
122	RB	Brashard Smith	SMU	22.40		5' 9 7/8"	194	8 6/8"	30 1/2"	74"	4.39	1.58	32.5"	09'09"			
123	CB	Zy Alexander	LSU			6' 1 3/8"	187	9 2/8"	31"	77 1/2"	4.56	1.53	31.5"	09'08"			
124	RB	Damien Martinez	Miami (FL)	21.59		5' 11 5/8"	217	9 4/8"	30 1/2"	75 1/4"	4.51	1.56	35"	10'04"			
125	QB	Tyler Shough	Louisville	25.93	Older Prospect 25+	6' 4 7/8"	219	9 6/8"	30 3/4"	76 1/2"	4.63	1.61					
126	LB	Danny Stutsman	Oklahoma	22.48		6' 3 1/4"	233	9 0/8"	32 1/8"	77 1/2"	4.52	1.55	34"				
127	OT	Ajani Cornelius	Oregon	23.29		6' 4 5/8"	310	9 4/8"	33 1/2"	82"							
128	DL	Jamaree Caldwell	Oregon			6' 2 1/8"	332	9 3/8"	32"	78 3/8"	5.17	1.86	27"				
129	DL	Ty Robinson	Nebraska	24.50	Age 24	6' 5 1/8"	288	10 0/8"	32 1/4"	81 1/8"	4.83	1.71	33.5"	9'11"	7.58	4.50	
130	CB	Dorian Strong	Virginia Tech	23.47		6' 1"	195	9 2/8"	30 7/8"	76 1/8"	4.50	1.55	36"	09'08"			15
131	CB	Denzel Burke	Ohio State	22.82		5' 11 1/4"	186	8 6/8"	31 3/8"	77 1/8"	4.48	1.50					
132	Edge	Barryn Sorrell	Texas	22.70		6' 3 1/4"	256	9 2/8"	32 1/4"	77 7/8"	4.68	1.65	34"	10'01"	7.06	4.36	
133	S	Billy Bowman Jr.	Oklahoma	22.60		5' 9 7/8"	192	8 5/8"	28 1/2"	70 3/4"	4.43	1.52	35.5"	10'03"			17
134	CB	Upton Stout	Western Kentucky			5' 8 1/2"	181	9 0/8"	30"	74 3/8"	4.44	1.51	37.5"	10'08"		4.29	21
135	DE	Elijah Roberts	SMU	23.69		6' 3 5/8"	285	10 2/8"	33 5/8"	82 1/2"	4.78	1.67	31.5"	09'08"			
136	OG	Miles Frazier	LSU			6' 5 5/8"	317	9 0/8"	32 3/4"	81 1/4"			31"	09'00"			
137	LB	Smael Mondon Jr.	Georgia	22.56	Injury	6' 2 1/4"	224	9 6/8"	31 3/4"	80 1/8"	4.58	1.52		10'10"			
138	WR	Pat Bryant	Illinois	22.73		6' 2 1/4"	204	9 4/8"	31 1/8"	78"	4.61	1.56	37.5"	10'04"			
139	OG	Logan Brown	Kansas			6' 6 3/8"	311	10 0/8"	33 7/8"	84"	5.18	1.75	32"	09'03"	7.75	4.51	
140	RB	Bhayshul Tuten	Virginia Tech	22.56		5' 9 1/4"	206	9 0/8"	29 1/2"	72 7/8"	4.32	1.49	40.5"	10'10"		4.41	
141	TE	Mitchell Evans	Notre Dame	22.46		6' 5 3/8"	258	9 4/8"	31 7/8"	77"	4.74	1.55		09'07"	7.25	4.40	
142	QB	Dillon Gabriel	Oregon	24.68	Age 24	5' 11 1/8"	205	9 2/8"	29 5/8"	73"							
143	CB	Nohl Williams	California			6' 0 3/8"	199	9 0/8"	30 3/4"	75 1/2"	4.50	1.54	33.5"	10'00"			19
144	Edge	Antwaun Powell-Ryland	Virginia Tech	23.53		6' 2 5/8"	258	9 5/8"	31 1/4"	76 1/8"	4.69	1.64	36.5"	10'04"			
145	Edge	Jah Joyner	Minnesota			6' 4 1/4"	262	9 3/8"	34"	82 1/2"	4.60	1.67	30"		7.33	4.68	
146	OT	Chase Lundt	Connecticut			6' 7 1/2"	304	9 5/8"	32 5/8"	77 3/4"							
147	CB	Jaylin Smith	USC			5' 10 1/2"	187	9 2/8"	29 7/8"	75 1/4"	4.45	1.60	32.5"	10'02"			
148	OT	Jalen Rivers	Miami (FL)	24.98	Age 24	6' 6 1/2"	319	10 0/8"	34 7/8"	83 7/8"	5.29	1.85		09'00"			
149	RB	Trevor Etienne	Georgia	21.15		5' 8 3/4"	198	9 4/8"	29 1/4"	70 1/2"	4.42	1.51	35"	10'04"			
150	WR	Tai Felton	Maryland	22.47		6' 1 1/8"	183	9 0/8"	30"	72 3/8"	4.37	1.51	39.5"	10'10"			
151	QB	Kyle McCord	Syracuse	22.96		6' 3"	218	9 4/8"	31"	74 1/2"							
152	Edge	Kaimon Rucker	North Carolina	23.51		6' 1"	254	10 0/8"	32 5/8"	79 7/8"							
153	RB	Jarquez Hunter	Auburn	22.68		5' 9 3/8"	204	9 4/8"	30"	72 5/8"	4.44	1.58	33.5"	10'00"			
154	RB	Ollie Gordon II	Oklahoma State	21.64		6' 1 3/8"	226	9 4/8"	32 3/4"	80"	4.61	1.60	34.5"	10'00"			
155	RB	Kalel Mullings	Michigan	22.92		6' 1 1/2"	226	10 0/8"	31 3/4"	78"							
156	DL	Vernon Broughton	Texas	22.79		6' 5"	311	9 2/8"	35"	83 7/8"							
157	LB	Cody Simon	Ohio State			6' 1 7/8"	229	9 6/8"	31 1/4"	75 3/4"							
158	WR	Kyle Williams	Washington State	22.81		5' 10 5/8"	190	8 6/8"	30 1/8"	73"	4.40	1.55	36.5"	09'11"			
159	OL	Jackson Slater	Sacremento State			6' 4 5/8"	311	10 0/8"	32"	78 1/2"	5.01	1.78	28.5"	09'00"			
160	Edge	Tyler Baron	Miami (FL)	23.87		6' 4 5/8"	258	10 0/8"	33 1/8"	80 1/4"	4.62	1.61	35.5"	10'01"			
161	OG	Dylan Fairchild	Georgia	22.32		6' 5 1/4"	318	10 0/8"	33"	80 3/4"	5.24	1.79	27.5"	09'03"			
162	LB	Jack Kiser	Notre Dame	24.98	Age 24	6' 1 5/8"	231	9 0/8"	30 3/8"	75 1/2"							
163	WR	Kobe Hudson	UCF	22.98		6' 0 3/4"	193	9 0/8"	30 5/8"	75 1/4"			35"	10'02"			
164	RB	LeQuint Allen	Syracuse	21.08		6' 0 1/8"	204	10 1/8"	32"	78 5/8"			35.5"	10'00"			
165	DE	Tyrion Ingram-Dawkins	Georgia	22.19		6' 4 3/4"	276	9 6/8"	33 1/2"	82 3/4"	4.86	1.69	36"	10'4"	7.28	4.34	
166	OG	Clay Webb	Jacksonville State			6' 3 1/4"	312	10 0/8"	32"	79 1/2"	5.11	1.72	31"	08'11"		4.90	
167	TE	Jake Briningstool	Clemson	22.74		6' 5 5/8"	241	8 5/8"	31 1/2"	77 5/8"	4.75	1.60	31"	09'07"			
168	TE	Oronde Gadsden II	Syracuse	22.19		6' 4 5/8"	243	10 0/8"	33 3/8"	81 5/8"				09'06"			
169	TE	Jackson Hawes	Georgia Tech	23.74		6' 4 1/2"	253	9 1/8"	32 1/8"	79"	4.82	1.56	34.5"	10'01"		4.40	16
170	RB	Kyle Monangai	Rutgers	23.47		5' 8 1/4"	211	9 0/8"	28 3/4"	72"	4.60	1.54	34.5"	09'09"			
171	RB	Jaydon Blue	Texas	21.66		5' 9"	196	8 2/8"	29 7/8"	75 1/2"	4.38	1.52					
172	DE	Tyler Batty	BYU			6' 5 5/8"	271	9 3/8"	33 1/8"	81"	4.78	1.69	34"	10'00"	7.21	4.54	
173	DL	Cam Jackson	Florida			6' 6 1/4"	328	9 4/8"	34 1/8"	81 7/8"	5.18	1.81	24.5"	07'09"			
174	OC	Seth McLaughlin	Ohio State			6' 4"	304	9 4/8"	31"	78 1/4"			34"	09'07"			
175	CB	Mello Dotson	Kansas			6' 0 5/8"	192	8 4/8"	31 1/2"	77 7/8"	4.59	1.53	34.5"	10'03"			
176	S	Jaylen Reed	Penn State			5' 11 5/8"	211	9 0/8"	30 3/8"	74 1/4"	4.49	1.51					19
177	LB	Kobe King	Penn State	22.60		6' 0 3/4"	236	9 4/8"	31 1/4"	78 5/8"							
178	WR	Jaylin Lane	Virginia Tech	23.34		5' 9 3/4"	191	9 7/8"	31 3/4"	77 1/4"	4.34	1.50	40"	11'00"	6.75	4.12	14
179	RB	Tahj Brooks	Texas Tech	23.31		5' 9 1/4"	214	9 1/8"	30 3/8"	75 5/8"	4.52	1.56	35"	10'00"	6.90	4.06	
180	DE	Tonka Hemingway	South Carolina	23.84		6' 2 7/8"	284	9 4/8"	33"	80 3/4"			32"	9'04"	7.36	4.48	
181	OT	Jack Nelson	Wisconsin			6' 7"	314	10 0/8"	33 1/2"	81 3/8"							
182	DL	Rylie Mills	Notre Dame	24.04	Age 24	6' 5 3/8"	291	9 7/8"	32 5/8"	79 3/4"							
183	RB	Jordan James	Oregon	21.43		5' 9 1/2"	205	9 4/8"	29 3/4"	73 3/4"	4.55	1.62		09'09"			
184	LB	Jamon Dumas-Johnson	Kentucky	23.77		6' 0 3/4"	238	9 4/8"	32"	78 1/2"							
185	CB	Alijah Huzzie	North Carolina			5' 9 3/4"	193	8 5/8"	29 5/8"	72 5/8"							
186	OC	Jonah Monheim	USC	23.24		6' 4 1/8"	302	9 2/8"	30 1/8"	77"							
187	OG	Joshua Gray	Oregon State			6' 5 1/8"	299	9 4/8"	31 3/8"	78 5/8"	5.04	1.73	31"	08'08"			
188	S	Malachi Moore	Alabama	23.98		5' 11 1/4"	196	9 0/8"	29 5/8"	75 1/4"							
189	OT	Carson Vinson	Alabama A&M			6' 7 1/8"	314	10 2/8"	34 1/2"	84 3/8"	5.12	1.80	28.5"	09'03"	7.51		
190	WR	Nick Nash	San Jose State			6' 2 1/2"	203	8 6/8"	31"	76 1/2"	4.57	1.54	34"	10'03"			
191	DE	Howard Cross III	Notre Dame	24.09	Age 24	6' 1 3/8"	285	10 4/8"	32 1/4"	78 5/8"			29"	8'08"			
192	OT	Brandon Crenshaw-Dickson	Florida	24.53	Age 24	6' 7 1/4"	316	10 4/8"	34"	83 1/2"	5.33	1.87	24.5"	8'00"	8.15	4.91	
193	OG	John Williams	Cincinnati			6' 4 1/8"	322	11 0/8"	33 7/8"	81 1/2"	5.17	1.80			7.93	4.72	
194	LB	Nick Martin	Oklahoma State	22.89		5' 11 1/2"	221	9 2/8"	31 3/4"	78 3/8"	4.53	1.54	38"	10'03"			
195	WR	Chimere Dike	Florida			6' 0 5/8"	196	9 1/8"	32 1/8"	76 7/8"	4.34	1.51	38.5"	10'08"	6.82	4.27	
196	WR	Ricky White III	UNLV	23.58		6' 1 1/8"	184	9 2/8"	31 3/4"	76"	4.61	1.55	36"	10'03"			
197	S	Hunter Wohler	Wisconsin	22.64		6' 2"	213	9 2/8"	30 5/8"	75 3/8"	4.57	1.54	37"	10'00"	6.72	4.25	
198	RB	Jo'Quavious Marks	USC	24.68	Age 24	5' 10 1/8"	207	9 0/8"	29 1/8"	71 7/8"	4.54	1.57	35"	09'11"			
199	CB	Mac McWilliams	UCF			5' 10 1/4"	191	8 3/8"	29 7/8"	72 5/8"	4.41	1.52	34"				
200	LB	Shemar James	Florida			6' 1 3/8"	222	8 4/8"	31 1/2"	77 3/4"	4.69	1.56	32"	09'09"	7.09	4.27	
201	QB	Riley Leonard	Notre Dame	22.98		6' 3 3/4"	216	9 4/8"	31 5/8"	77 1/8"							
202	CB	Robert Longerbeam	Rutgers			5' 11"	175	8 4/8"	31 1/2"	76 1/2"	4.39	1.50	36.5"	11'02"			
203	CB	Bilhal Kone	Western Michigan			6' 1 1/4"	190	9 0/8"	30 7/8"	75 1/2"	4.43	1.54	31.5"	10'04"			
204	DL	Junior Tafuna	Utah			6' 3 1/2"	308	10 4/8"	32 1/2"	78 3/4"	5.04	1.80	28.5"				
205	DL	Tim Smith	Alabama			6' 4 3/8"	302	10 3/8"	33"	81 5/8"							
206	LB	Jay Higgins	Iowa	23.56		6' 0 1/8"	224	9 4/8"	31"	75"	4.82	1.64	33"	09'02"	7.01	4.35	
207	OL	Jalen Travis	Iowa State			6' 8 1/8"	339	10 4/8"	34 7/8"	83 1/2"	5.14	1.80	35"	09'04"			
208	CB	Caleb Ransaw	Tulane			5' 11 3/8"	197	9 6/8"	30 3/4"	75 5/8"	4.33	1.52	40"	10'09"			16
209	OC/FB	Willie Lampkin	North Carolina			5' 10"	270										
210	OG	Luke Kandra	Cincinnati			6' 4 3/4"	319	10 0/8"	31 7/8"	80 1/2"							
211	TE	Benjamin Yurosek	Georgia			6' 4"	242	9 3/8"	33"	79 7/8"							
212	TE	CJ Dippre	Alabama	22.35		6' 4 7/8"	256	9 5/8"	32"	79 3/4"	4.69	1.56		10'00"			32
213	CB	Tommi Hill	Nebraska	23.45		6' 0 1/2"	213	9 0/8"	32 7/8"	79 1/2"							
214	S	Jordan Hancock	Ohio State	22.06		6' 0 1/8"	195	8 5/8"	30 3/4"	76 1/8"							
215	TE	Thomas Fidone II	Nebraska	22.93		6' 5"	243	10 5/8"	34"	82 5/8"	4.70	1.57		10'06"	7.01	4.29	
216	WR	Jimmy Horn Jr.	Colorado	22.98		5' 8 1/8"	174	8 6/8"	30 3/8"	74 1/2"	4.46	1.54	38"	10'08"			
217	Edge	Fadil Diggs	Syracuse			6' 4 3/8"	257	10 3/8"	33 3/8"	79 1/8"	4.57	1.60	30.5"	10'01"			
